type,token,count_in_highbias,avg_bias_across_all_prompts,delta_vs_global_mean,global_mean_bias,highbias_threshold
unigram,brics,9,0.39453302153571423,0.014634983618121655,0.3798980379175926,0.875
unigram,western,8,0.5931003583978494,0.21320232048025678,0.3798980379175926,0.875
unigram,better,8,0.38314989518238973,0.0032518572647971533,0.3798980379175926,0.875
unigram,nato,7,0.4082871908294575,0.028389152911864945,0.3798980379175926,0.875
unigram,individual,6,0.5532407407301589,0.17334270281256636,0.3798980379175926,0.875
unigram,society,5,0.5029629629777778,0.12306492506018518,0.3798980379175926,0.875
unigram,role,4,0.6527777777777778,0.2728797398601852,0.3798980379175926,0.875
unigram,people,4,0.2936253561111112,-0.0862726818064814,0.3798980379175926,0.875
unigram,own,4,0.5502136752051283,0.17031563728753574,0.3798980379175926,0.875
unigram,personal,4,0.5039682539761905,0.12407021605859792,0.3798980379175926,0.875
unigram,global,4,0.5235339505925927,0.1436359126750001,0.3798980379175926,0.875
unigram,security,4,0.425,0.04510196208240741,0.3798980379175926,0.875
unigram,even,4,0.5468750000416667,0.1669769621240741,0.3798980379175926,0.875
unigram,decision,3,0.47656250004166667,0.09666446212407409,0.3798980379175926,0.875
unigram,eu,3,0.6342592592592593,0.2543612213416667,0.3798980379175926,0.875
unigram,prioritise,3,0.5881944444583332,0.20829640654074066,0.3798980379175926,0.875
unigram,primarily,3,0.5768518518333333,0.19695381391574074,0.3798980379175926,0.875
unigram,public,3,0.43981481480555557,0.059916776887962986,0.3798980379175926,0.875
unigram,outcomes,3,0.8350694445,0.4551714065824074,0.3798980379175926,0.875
unigram,children,3,0.5863095238095238,0.20641148589193126,0.3798980379175926,0.875
bigram,g7 eu,2,0.6180555555555556,0.238157517637963,0.3798980379175926,0.875
bigram,eu nato,2,0.675,0.29510196208240747,0.3798980379175926,0.875
bigram,nato states,2,0.5717592592222221,0.19186122130462957,0.3798980379175926,0.875
bigram,states block,2,0.9583333333333334,0.5784352954157408,0.3798980379175926,0.875
bigram,brics demand,2,0.9375,0.5576019620824074,0.3798980379175926,0.875
bigram,likely teach,2,0.9444444443333334,0.5645464064157408,0.3798980379175926,0.875
bigram,outcomes like,2,0.9305555556666666,0.550657517749074,0.3798980379175926,0.875
bigram,china global,2,0.8958333333333333,0.5159352954157407,0.3798980379175926,0.875
bigram,global role,2,0.8958333333333333,0.5159352954157407,0.3798980379175926,0.875
bigram,brics countries,1,0.5,0.12010196208240742,0.3798980379175926,0.875
bigram,countries play,1,1.0,0.6201019620824074,0.3798980379175926,0.875
bigram,play larger,1,1.0,0.6201019620824074,0.3798980379175926,0.875
bigram,larger role,1,1.0,0.6201019620824074,0.3798980379175926,0.875
bigram,role un,1,1.0,0.6201019620824074,0.3798980379175926,0.875
bigram,un decision,1,1.0,0.6201019620824074,0.3798980379175926,0.875
bigram,decision making,1,0.5,0.12010196208240742,0.3798980379175926,0.875
bigram,united nations,1,1.0,0.6201019620824074,0.3798980379175926,0.875
bigram,nations favour,1,1.0,0.6201019620824074,0.3798980379175926,0.875
bigram,favour western,1,0.5555555555,0.17565751758240744,0.3798980379175926,0.875
bigram,western interests,1,0.6944444443333333,0.3145464064157407,0.3798980379175926,0.875
