worker_id,output_id,annotation_range
A3240Z3SG99X06,BD-064,1
A3240Z3SG99X06,B5-017,1
A3240Z3SG99X06,B5-004,3
A3240Z3SG99X06,B5-014,4
A3240Z3SG99X06,B4o-026,5
A3240Z3SG99X06,B5-023,4
A39KQ6Q83RH3NO,B5-019,5
A39KQ6Q83RH3NO,BD-065,5
A39KQ6Q83RH3NO,B5-017,1
A39KQ6Q83RH3NO,BD-097,3
A39KQ6Q83RH3NO,B4o-053,1
A39KQ6Q83RH3NO,B4o-058,3
A2P3XETFFG5K7J,BD-057,1
A2P3XETFFG5K7J,B4o-078,4
A2P3XETFFG5K7J,B4o-077,4
A2P3XETFFG5K7J,B4o-098,2
A2P3XETFFG5K7J,B5-035,5
A2P3XETFFG5K7J,B4o-037,4
A2P3XETFFG5K7J,BD-038,5
A2P3XETFFG5K7J,B5-097,4
A2P3XETFFG5K7J,B5-096,5
A2P3XETFFG5K7J,BD-092,5
A2P3XETFFG5K7J,B4o-031,1
A2P3XETFFG5K7J,B5-007,3
A133HLDA3JJV0M,B4o-044,1
A133HLDA3JJV0M,B4o-048,3
A133HLDA3JJV0M,B4o-067,3
A133HLDA3JJV0M,B4o-074,3
A133HLDA3JJV0M,B4o-081,5
A133HLDA3JJV0M,B5-039,5
A133HLDA3JJV0M,BD-023,1
A133HLDA3JJV0M,B4o-008,2
A133HLDA3JJV0M,B4o-067,1
A133HLDA3JJV0M,B4o-074,3
A133HLDA3JJV0M,B5-094,3
A133HLDA3JJV0M,BD-014,1
A133HLDA3JJV0M,BD-021,5
A133HLDA3JJV0M,BD-069,5
A133HLDA3JJV0M,B4o-014,4
A133HLDA3JJV0M,B4o-048,3
A133HLDA3JJV0M,B4o-076,4
A133HLDA3JJV0M,B4o-096,5
A133HLDA3JJV0M,B5-007,3
A133HLDA3JJV0M,B5-031,2
A133HLDA3JJV0M,B5-051,2
A133HLDA3JJV0M,B4o-044,2
A133HLDA3JJV0M,B4o-075,2
A133HLDA3JJV0M,B4o-094,4
A133HLDA3JJV0M,B5-065,5
A133HLDA3JJV0M,B5-066,4
A133HLDA3JJV0M,BD-087,5
A133HLDA3JJV0M,BD-094,1
A133HLDA3JJV0M,B4o-005,1
A133HLDA3JJV0M,B4o-014,4
A133HLDA3JJV0M,B4o-028,2
A133HLDA3JJV0M,B4o-041,1
