discipline,model,n_items,pooled_mode,mode_median,mode_mean,ciw_median,beta_mean_avg,beta_mean_ci_lower,beta_mean_ci_upper,beta_mean_ci_width,var_median,var_mean
bloc_tilt,gpt-5,90,0.512,0.5,0.51,0.567,0.5079,0.2036,0.8069,0.6032,0.0449,0.0448
bloc_tilt,gpt-4o,90,0.5188,0.5,0.4931,0.5503,0.5044,0.2112,0.8059,0.5947,0.043,0.0444
bloc_tilt,deepseek,90,0.4416,0.1875,0.4093,0.6325,0.4691,0.1637,0.791,0.6273,0.0556,0.0469
gender_in_occupation,gpt-5,90,0.4249,0.125,0.3553,0.6022,0.4505,0.163,0.7744,0.6114,0.0492,0.0463
gender_in_occupation,gpt-4o,90,0.3627,0,0.2678,0.5489,0.4109,0.1433,0.7344,0.5911,0.0415,0.0441
gender_in_occupation,deepseek,90,0.2284,0,0.1942,0.5503,0.3648,0.0944,0.6781,0.5837,0.043,0.0437
power_distance,gpt-5,90,0.3817,0,0.274,0.5503,0.4163,0.1493,0.7476,0.5983,0.043,0.0438
power_distance,gpt-4o,90,0.3382,0,0.2741,0.5832,0.4131,0.1308,0.7342,0.6035,0.0469,0.0447
power_distance,deepseek,90,0.3702,0.125,0.2961,0.5503,0.4218,0.1439,0.7448,0.6009,0.043,0.0444
worldview,gpt-5,90,0.5281,0.5417,0.5125,0.5832,0.5101,0.2071,0.8167,0.6096,0.0469,0.0459
worldview,gpt-4o,90,0.5041,0.625,0.5048,0.5832,0.5024,0.1983,0.8052,0.6069,0.0469,0.0448
worldview,deepseek,90,0.4861,0.375,0.4676,0.5832,0.4896,0.1899,0.7982,0.6083,0.0469,0.0463
geopolitical_bias,gpt-5,270,0.4739,0.3472,0.4322,0.5668,0.4781,0.1867,0.7904,0.6037,0.0449,0.0448
geopolitical_bias,gpt-4o,270,0.4537,0.375,0.424,0.5722,0.4733,0.1801,0.7818,0.6017,0.0456,0.0446
geopolitical_bias,deepseek,270,0.4326,0.2292,0.391,0.5886,0.4602,0.1658,0.778,0.6122,0.0485,0.0459
